text,score,title,comment_word_len
I've never watched these two😊 before but this guy is a asshat. The Constitution is we the people and we the people don't want them invading our southern border irregardless. He talks just like another self-educated person that's been paid off.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,41
Young turks suck,1,Republican ADMITS What Is Behind Killing Border Deal,3
They haven't even released the text of the bill to be read to find out exactly what's in it!! So how the freak would you know to be reporting what's in the bill!?  TYT are a bunch of MORONS,1,Republican ADMITS What Is Behind Killing Border Deal,39
Trump come and let them eat their words we know their talking trash,0,Republican ADMITS What Is Behind Killing Border Deal,13
Pluss you say we can’t have a country like that when Biden has done exactly that. You can’t follow a dumbass because your scared of making the country like that. Realize it’s already like that because of those policies.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,39
You know what you schmucks that heed to the want and needs of a un elected Bureaucracy UN fuk the commie CCCP,1,Republican ADMITS What Is Behind Killing Border Deal,22
"ILLEGAL CRIMINALS DESERVE NOTHING...fk your 5k a day, parole, catch and release..oh and fyck Ukraine..they lost",1,Republican ADMITS What Is Behind Killing Border Deal,16
"The latest time CONGRESS,  both Houses,  actually dealt with what are now TOTALLY obsolete, TOTALLY screwed-up Immigration Laws in this Country, was in 1988 when Ronald Reagan was the President, 36 years ago.  PRESIDENT'S DO NOT WRITE THE LAWS, stop blaming the Presidents, go after Congress.",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,46
"Trump had most secured border without new laws, more money (they just want money to launder or support a war that cannot be won) This is more military industrial financing, same ole, same ole.",0,Republican ADMITS What Is Behind Killing Border Deal,34
If thats the case why are SANCTUARY cities/states protecting illegal aliens from INS. There are laws that give INS the right to pick up all criminals.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,26
The main thing about everything going on in the world 🌍🌎.. No Antitrust law's apply anymore.. It's Greed and money laundering scammers and Hackers..All the money in the World couldn't save it...nor would I.... HAKUNA MATATA 👽😇🙂🙃🤫,0,Republican ADMITS What Is Behind Killing Border Deal,37
That’s just an idiotic take….no one would ever say let’s shoot them . The wire stops ILLEGALS from coming in cause Biden isn’t doing shyt. Wake up,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,27
"Shut up, Young TURDS.  You are such liars.",1,Republican ADMITS What Is Behind Killing Border Deal,8
This is a Stupid channel... don't waste your time on this Garbage 😉,1,Republican ADMITS What Is Behind Killing Border Deal,13
"BWAHAHAHA looks like they're messing with Texas! Suck it, racists!",1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,10
Lies everyone of these assholes,1,Republican ADMITS What Is Behind Killing Border Deal,5
Chip Roy is correct. And 9 million armed Texans stand with him and Abbot. We will stand.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,17
I thought the SCOTUS was republican?,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,6
Nowhere too run turks for helping them people won't forget because stupidity is no excuse.,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,15
Federal government cannot trend on the state’s president needs to be very careful with terrane,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,15
The state of texas needs to increase severance taxes to offset costs of illegal immigration,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,15
cheating America is NOT the way to go assholes,1,Republican ADMITS What Is Behind Killing Border Deal,9
The border is planned chaos😅,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,5
This channel is trash.,1,Republican ADMITS What Is Behind Killing Border Deal,4
"Federal government is corrupt to the core, pieces of crap!",1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,10
This show sucks 😊,1,Republican ADMITS What Is Behind Killing Border Deal,4
Cenk you're so full of crap it's seeping out your skin pores,1,Republican ADMITS What Is Behind Killing Border Deal,12
If one wants authority they cannot then also skirt RESPONSIBILITY! If Biden is going to neglect our southern border then he also gives up his say over what happens there. He has neglected our security to CRIMINAL degree!!!,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,38
How many should come per year?,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,6
You are a anti America so shut the hell up,1,Republican ADMITS What Is Behind Killing Border Deal,10
Bunch of cry babies trying to fuck up our country,1,Republican ADMITS What Is Behind Killing Border Deal,10
Fuck offff Ben your voice is so sickening,1,Republican ADMITS What Is Behind Killing Border Deal,8
Fuck Texas Nazis,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,3
it is about money and power  they do not care about that only when  it helps them politically. even in texas it is just a political statement for if they were serious they would prosecute all their white friends that hire illegals . it is all a game,0,Republican ADMITS What Is Behind Killing Border Deal,48
"Remove this bozo the clown from the senate because he is a waste of time and money and space, Josh Hawley is worthless and his head is so far up Trump rear end his mouth wash smells like Trump, get this clown out now.",1,Republican ADMITS What Is Behind Killing Border Deal,44
Send them back to their 3rd world shit holes. Nobody invited them here.,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,13
"Jenk, thanks SO MUCH for being my diamond in the rough...Hearing an American speaking out loud acknowledgment that America has the power to utilize preventative foriegn policy to mitigate the migrant and refugee overload at borders.",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,36
Turn them around and deport the rest,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,7
"You obviously arent texan ,anna.      We dont tolerate bullshit",1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,9
"A new government, of the people, by the people, for Trump !!! FUCK THAT !!! 😡🛑💩💯🇺🇲💙🇺🇲💙🇺🇲💙🇺🇲💙🇺🇲💙",1,Republican ADMITS What Is Behind Killing Border Deal,16
THANK YOU GOVERNOR ABBOTT FOR DOING WHAT BIDEN AND THESE MAJORS DONT WANT TO DO TO PROTECT US AMERICANS AND OUR COUNTRY .THANK YOU OPERATION LONE STAR AND GOVERNOR ABBOTT WE AMERICANS ARE WITH YOU 💯,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,36
THIS Is ILLEGAL HxMann & CHiilD Trfffcccking,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,7
"TYT, what do you know about what's best for the American people?  You're just full of shit!!",1,Republican ADMITS What Is Behind Killing Border Deal,17
Just came here to say the Turks suck Donkey balls,1,Republican ADMITS What Is Behind Killing Border Deal,10
"Boy, Cenk has really low-IQ.",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,5
How can you be this stupid?,1,Republican ADMITS What Is Behind Killing Border Deal,6
Wow this guy is a moron 😂,1,Republican ADMITS What Is Behind Killing Border Deal,7
"running man scum baby ,hawley puke",0,Republican ADMITS What Is Behind Killing Border Deal,6
What's wrong with your dick lip ?,1,Republican ADMITS What Is Behind Killing Border Deal,7
"Only gullible and naive idiots think that Abbott is doing this because he cares so much about the safety and security of Texans. It's theatrical fear mongering of Mexicans, which is the only way to get people to vote him in power.",1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,42
So you want open borders dum ass,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,7
you have not been following the law so eat a phat dixk,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,12
The us government is failing us. So we are gonna do what they are afraid to do. Texas needs to close the borders. Better to ask for forgiveness than permission. Bidens government has ruined us. We are Texans... We arent going down without a fight.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,45
BOYCOTT THIS SHOW!!!!!! STUPID PEOPLE!!!!!,1,Republican ADMITS What Is Behind Killing Border Deal,5
tyt is worse than the view.,0,Republican ADMITS What Is Behind Killing Border Deal,6
You guys aren't even trying anymore. It's hilarious.,0,Republican ADMITS What Is Behind Killing Border Deal,8
It’s a BORDER right?? So why is any type of fence a problem? This is asinine tyt!,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,17
Close the fkn border and deport the illegals.,0,Republican ADMITS What Is Behind Killing Border Deal,8
This show is liberal propaganda garbage 🗑️! Yeah right Republicans are to blame Lol 😂,0,Republican ADMITS What Is Behind Killing Border Deal,15
"Any of you actually think someone is going to believe what you are saying? Biden started this insurrection via an illegal invasion that has taken place over the last three years.  Now, suddenly come election time, there is a sudden urgency to address this. Texas Hispanics SUPPORTRUMP 2024!",0,Republican ADMITS What Is Behind Killing Border Deal,48
Y I yr constitutional issues not comparative to this. Your an idiot.,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,12
THE TRUMP TRAIN IS COMING GET ON BOARD 🇺🇸 2024💯🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,0,Republican ADMITS What Is Behind Killing Border Deal,10
In Trump we trust.,0,Republican ADMITS What Is Behind Killing Border Deal,4
"This reporter is another biased Democrat mouth piece passing incorrect(lies) about this deal, this deal was not a border closing deal,it would never have been implemented by the Dumbocraps or Joe Biden but just another funding source of your tax dollars.",0,Republican ADMITS What Is Behind Killing Border Deal,41
American Patriots against Woke Marxists open borders!!😳,0,Republican ADMITS What Is Behind Killing Border Deal,7
Liberals are fuckin idiots. Come in get a phone and 3000 Dollars commit crime. I hate you fucks,1,Republican ADMITS What Is Behind Killing Border Deal,18
So we're going to completely ignore the fact that Texas police officers are harassing and arresting border patrol agents from doing their job,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,23
Trumps going to prison and theyre freaking out. Trump IS going to prison.,0,Republican ADMITS What Is Behind Killing Border Deal,13
"THIS FOOL IS ANTI-AMERICAN, AND ANTI- CONSTITUTION, A COMPLETE ENEMY OF THE PEOPLE.",1,Republican ADMITS What Is Behind Killing Border Deal,13
Wait untill  the illegals  invade the rich neighborhoods  thats were thier going to go when the freebies run out .,0,Republican ADMITS What Is Behind Killing Border Deal,20
Y'all are useful idiots commies,1,Republican ADMITS What Is Behind Killing Border Deal,5
"Why are we pretending to be surprised that Republicans would rather cause problems than solve them, especially if it means working with Democrats? This has been their exact playbook AT LEAST going back to Obama, probably much further.",0,Republican ADMITS What Is Behind Killing Border Deal,38
Abbott is a dumb useless Governor needs to be voted out and one day he will lose him and his crooked AG Ken Loser Paxton,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,25
You guys are pathetic. So with the lies. Or stupidity. Whichever. Just stop,1,Republican ADMITS What Is Behind Killing Border Deal,13
Biden admin has RECORD apprehensions because the border is not wide open.  He also has record jobs and employment.  Yea Joe,0,Republican ADMITS What Is Behind Killing Border Deal,21
The Invasion continues. Bus them to DC.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,7
Read the bill idiot.......its give us more money for war or no boarder security FOR YOU!,1,Republican ADMITS What Is Behind Killing Border Deal,16
lol the young turks was a political movement in turkey that resulted in a genocide remember that,0,Republican ADMITS What Is Behind Killing Border Deal,17
You guys are the most stupidest anti American people in the USA . Now you're blaming the Republicans for 6 million + illegals from 2020-2024. Just let Gov Abbott handle it his way and keep the federalization out of the Texas National Gaurd.,1,Republican ADMITS What Is Behind Killing Border Deal,43
Who he making fun of your stupid dude,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,8
Honestly has this man lost his mind? He is saying Republicans opened up the border? He needs to be put in a nursing home somewhere cuz he's lost his mind. 😂,0,Republican ADMITS What Is Behind Killing Border Deal,31
"Republicans and fox deserve each other, they both suck,",1,Republican ADMITS What Is Behind Killing Border Deal,9
Some judges are murderers just plain mean and corrupt themselves WHO is in our Country???    Do the judges know?  If not why don’t they know since they’re not watching who is entering our Country,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,34
"Progressives can forget about minimum wage increases, these illegals will do the job for half of what you idiots are demanding 😂😂😂",1,Republican ADMITS What Is Behind Killing Border Deal,22
Joe Biden sucks. America deserved better.,1,Republican ADMITS What Is Behind Killing Border Deal,6
Great idea set up tha Gatlins !  Screw the corrupted tyranical feds!     Protect the borders.    We dont want nor can we afford to take you and yours on.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,28
I think you both should listen to your show  every day at the end of it. So you both can hear how ridiculous and stupid you both sound. I have no idea how either of you have a JOB!!  Both of your voices are so damn annoying.,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,47
TYT's are communist liberals who of course have no problem with opening our border to illegal aliens. I suggest you go live in Venezuela or some other communist haven.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,29
"You have your first amendment rights, but you don't know what you're talking about. Our country not having a secured border is a matter of national security",0,Republican ADMITS What Is Behind Killing Border Deal,27
You cant fix scared and stupid!,1,Republican ADMITS What Is Behind Killing Border Deal,6
The demonrats border deal  sucked. That is why it did not pass.You people need to wake up,0,Republican ADMITS What Is Behind Killing Border Deal,17
Why would you need to go USA.  Trust me I been there is not worth risking your life. You are going to be legal slave.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,25
"Cenk, shut up and join James Carville or go home.",0,Republican ADMITS What Is Behind Killing Border Deal,10
"MEGA, MAKE AMERICA GREAT AGAIN.  Can you idiot's please tell me what's wrong with that?",1,Republican ADMITS What Is Behind Killing Border Deal,15
Yea Republicans are ready to go to war with Biden to save this nation but sure they are keeping the border wide open you gotta be braindead to believe that obvious propaganda,0,Republican ADMITS What Is Behind Killing Border Deal,32
This is all solvable with a executive order.,0,Republican ADMITS What Is Behind Killing Border Deal,8
BOTH the International Border and Immigration are FEDERAL not State Jurisdiction care of both the United States Constitution and the United States Supreme Court.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,24
Close the border deport all illegal aliens and dreamers . Then we talk. UNTILL then buzz off.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,17
Young turks esp. the fat one just hate trump which clouds their sanity.....,0,Republican ADMITS What Is Behind Killing Border Deal,13
Ill be her crotch smells like a fish that's been dead for a week,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,14
"I have lived in Texas since 1998, very much regret my move.  Everyday my colleagues and myself in higher ed live in fear as GA bullies daily.",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,27
"Treasonous motherfucker,the country can go to Hell if Trump can't get the CREDIT.",1,Republican ADMITS What Is Behind Killing Border Deal,13
So full of shit you are,1,Republican ADMITS What Is Behind Killing Border Deal,6
"Dude, you are full of crap! It’s so easy for you to stick with the dumbass biden goons and leftist commies. You are totally Un American and should be in jail for treason like the rest of the corrupt leftists’!",1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,40
You are an idiot if you believe this deal  was a good deal it was not about border security it was money to process more people coming in not stopping anyone from  coming in.  Stop lying on air.,1,Republican ADMITS What Is Behind Killing Border Deal,38
Like how Nancy Pelosi requested machine guns at the 2021 inauguration; thankfully it was denied.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,15
It’s called do your damn job for the people. My god how pathetic these so called grown ups are. 💙🇺🇸,1,Republican ADMITS What Is Behind Killing Border Deal,20
What's this bias bullsh*t?   YoungTurks you can do better.   Oh yeah....ratings.  I get it now.,1,Republican ADMITS What Is Behind Killing Border Deal,15
Your so full of crap its leaking out your ears Republicans do not want the border open you people lie like Democrats thats a fact.,1,Republican ADMITS What Is Behind Killing Border Deal,25
"( thou shall not kill or hurt people, which is again the law !)",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,14
Ben and all Zionist are Nazis get him off of your show like you got Jimmy dore off of your show,0,Republican ADMITS What Is Behind Killing Border Deal,21
Stop gaslighting people.,0,Republican ADMITS What Is Behind Killing Border Deal,3
This show sucks small dicks of leftist,1,Republican ADMITS What Is Behind Killing Border Deal,7
As a Purple Heart Usmc veteran I have to say.. I witnessed smarter crap in the porta John’s in Iraq then all of you dumb f… on this channel.. And that’s a fact.. FACT… Fact!!!!!!,1,Republican ADMITS What Is Behind Killing Border Deal,35
"We had razor wire ??  Lmao had no idea but that’s still disgusting that we have it there , good shit gov",1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,22
WHY IS THIS MAN STILL ON Y'ALL SHOW AFTER DEFENDING BENJAMIN NETANYAHU AND THE I.D.F LAST WEEK. UNSUBSCRIBED. CENK YOU ANNA ARE PATHETIC FOR ALLOWING MAN BACK ON YOUR SHOW AGAIN. TERRIBLE DISCUSTING HORRIBLE.,1,Republican ADMITS What Is Behind Killing Border Deal,34
Tell TEXAS THAT THIER NON COMPLIANCE IS A FEDERAL PENALTY ON THE STATE Foreign WORKERS ARE COSTING AMERICAN WORKERS JOBS,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,20
Absolutely NOT NO NO COURT OVER RODE. THIS IS A PERIMETER DURING A WAR,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,14
There is no constitution this country has been taken over and guess what nobody is going to do anything about it except complain !,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,24
"illegal entering so, the europeans people had the legal right to into america over 500 years ago.",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,17
The Young Clowns…bunch of losers. Gtfoh. How dumb can you possibly be?,1,Republican ADMITS What Is Behind Killing Border Deal,12
"A country without a boarder, Is not a Country at all",0,Republican ADMITS What Is Behind Killing Border Deal,11
They think we're stupid,0,Republican ADMITS What Is Behind Killing Border Deal,4
Well you must be doing something right for your comments to be invaded like this.  Keep it up guys.,0,Republican ADMITS What Is Behind Killing Border Deal,19
This idiot needs to grow up. He sure has no place for kicking anyone. Especially looking like he’s Zelenskys twin. Short people have no reason,1,Republican ADMITS What Is Behind Killing Border Deal,25
SEND THAT OLD 👹 DEMON TURK BACK TO TURKEY 😖😖😖,1,Republican ADMITS What Is Behind Killing Border Deal,10
"Who watches this crap, these people are idiots.",1,Republican ADMITS What Is Behind Killing Border Deal,8
SOMEBODY HAS TO SUE BIDEN FOR DANGER THIS NATION SAFETINESS BY UNGUARDED THIS COUNTRY’S BORDERS 😡😡😡,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,16
they must of been bullied as a kid lol because they look like it lol,0,Republican ADMITS What Is Behind Killing Border Deal,15
Young turks do you guys listen to your own bullshit. So the Republicans own the border. Democrats never wanted a wall dems kept the border open for the last three years so do some research before you post this propaganda.,1,Republican ADMITS What Is Behind Killing Border Deal,40
I see they're still letting that hateful little rat fuck host the show,1,Republican ADMITS What Is Behind Killing Border Deal,13
Dude youre a mooron. close the border!!!,1,Republican ADMITS What Is Behind Killing Border Deal,7
The right is 100% correct on this stop the flow of illegals into the country.,0,Republican ADMITS What Is Behind Killing Border Deal,15
How about enforcing the laws instead of subverting them.,0,Republican ADMITS What Is Behind Killing Border Deal,9
What a stupid show fu tyt,1,Republican ADMITS What Is Behind Killing Border Deal,6
It’s a shit deal! Stop the cap 🧢,1,Republican ADMITS What Is Behind Killing Border Deal,8
The young turds are in full panic mode 😂❤,0,Republican ADMITS What Is Behind Killing Border Deal,9
Don't you just love The Young Turds !!!!!!!!!,0,Republican ADMITS What Is Behind Killing Border Deal,8
_• Make Reconquista Great Again_,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,5
"And Marco Rubio running his mouth, I guess he forgot his parents were immigrants!",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,14
"Dude, you are an idiot .",1,Republican ADMITS What Is Behind Killing Border Deal,6
"Open borders. Deport, deport, deport.",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,5
They are criminals and should be dealt with as such. STATES RIGHTS ALWAYS TRUMP FEDS BULLSHIT,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,16
Lets just have texas send them to his house.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,9
Good thing Texas doesn't care what the fed government says about that. The federal government has no authority to force states to allow invasion.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,24
The young jerks haven't a clue to how corrupt the government has become. No Nation can be sovereign with open borders.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,21
The border is federal property and the state has no jurisdiction on the border  !!!! These IDIOTS in the REPUCKLICAN TALEBAN PARTY don't give a dam about anything that has to do with LAW AND ORDER  !!!!,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,37
More fake news ha ha ha,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,6
"Literally, almost every comment here is standing up for Texas.  TYT sucks",1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,12
You can't have a country without a functioning border,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,9
There are after cheap labor.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,5
Trump and his cult are WHINEY LOSERS,1,Republican ADMITS What Is Behind Killing Border Deal,7
"All illegals need to go back where they came from, it's not a right to live in this country and we don't want the garbage",1,Republican ADMITS What Is Behind Killing Border Deal,25
U guys are pathetic and all u lunatics ur show u promote open boarders war and ridiculous shit!! U guys belong in a insane asylum! This is why no one watches ur show u lie cheat and steal and are winey losers,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,42
"Sorry, didn't know I was clicking on a communist dumb ass.",1,Republican ADMITS What Is Behind Killing Border Deal,11
Fuck Abbott and Texas. Send in the military to arrest these clowns. They also shouldn’t hold back in using force.,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,20
Remove rhino McConnell & money laundering 🎉mitt Romney joey energy of the American people 😂,0,Republican ADMITS What Is Behind Killing Border Deal,15
Ship all the illegal immigrants to Washington DC,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,8
U people are disgusting,1,Republican ADMITS What Is Behind Killing Border Deal,4
it's Democrat party not Democratic party.Close the border,0,Republican ADMITS What Is Behind Killing Border Deal,8
"TYT got sand in their vaginas and TDS so bad its hilarious. I came here for the lulz, not the shitty opinions and fake news reports 😂😂😂",1,Republican ADMITS What Is Behind Killing Border Deal,27
How is TYT still a thing when it’s so bad?,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,10
Biden did the same thing with student debt relief - they ignored a direct rule of not doing so,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,19
"DEMOCRATS DENY removing Trumps border wall was a recipe for disaster, they can't DEFEND but they can sute as hell Blame their opposition! FTYT!",0,Republican ADMITS What Is Behind Killing Border Deal,24
