text,score
"The ancient Greeks knew the earth was round. Genghis Khan new. The Easter Christians, following the romans and Greeks, knew. Everyone knew. Sadly this is just blind pseudo-religion pretending to be scientific.",0.0
He does NOT need $10.5 million.,0.0
"McCain is a nasty, spite filled little man.  Riding on the legacy of his POW days is tiresome and selfish.  He has let down every voter in his home state as well as those he (allegedly) leads in DC committees.  Time for him to go.",0.6212121212
That's it! I'm Boycotting NFL Football. Wait..can you boycott something in which you've never been involved nor had the slightest interest?,0.0
"Oh, a cross country tour - sounds ever so nice.  What a pompous twit he is !",0.6125
"Trump has sown division with all he has done.  He has no respect for anything, or anyone; he has no moral compass -no north star.  The idea that we should all unite around this lying traitor dirtbag is laughable.",1.0
"Unite around Trump, you are nuts!",0.7384615385
"she is kidding. If she is the next conservative candidate for pm, no one with any brains will vote for this troll. Shoot I would even vote for Jr. instead.",0.6
"Yeah right. You malignant, lying limousine liberal. Partisan to you  core. Or as your friend Obama says, corpse.",0.7222222222
this guy is nuts,0.8901384083
I'm sure the extra IED's and rocket propelled grenades will come in handy in the Jihad against all you infidels/kafirs.  Idiots lead by an idiot in chief ( but groovy socks ),0.7571428571
He is a rich piece of shit.,0.9811320755
"Thank you for this story. The news of late has been so depressing, so frustrating, and I've been feeling like the cloud of gloom is just closing in. Then I read this and got such a laugh. I needed the mirth ... it really lifted my spirits.",0.0
"This Bishop, even with all of his degrees, sheds light a saying that: There is no one more stupid than a grad student from an American university!",0.6714285714
Today I burned the Bronco flag and all the junk I bought that was Bronco!  I will spend all my efforts form now one trying to make sure you and the NFL don't ever make your Millions anymore!,0.7
my vacation dollars will go to Mexico for the next 4 years or less,0.0
"Honestly speaking, as such I have no idea abut this because I have read about this first time through this article. But I must say that in this article shared great kind of stuff about this which I will read during my https://www.goldenbustours.com/yosemite-tours/.",0.0
fairly wealthy folks bleed over property lines.  No politics just self importance.,0.1666666667
The most vile and repulsive pigs I have every met all proudly proclaim themselves to be democrats.,0.8113207547
I could have sworn what ISIS has done everyday in the Middle East and every month in Europe a hate crime??,0.3
"Do surveys by RACIST CRACKER GROUPS really count as ,y'know, surveys???? The Winston Group? What, the JOHN BIRCH SOCIETY was busy???????",0.2
Murderous little coward.  Kills an unarmed medic and gets $10 million!  Are we insane in this country?,0.7575757576
McElroy just gave his fellow priests a years' full of Homily Helpers!,0.0
"The NFL has become even more disgusting than it was before all the insane protesting started.  The thug-factor has long been present in both the NFL and the NBA, and for that reason, I've not watched either for decades.  Americans need to eschew the dirt, and start reading good books!",0.6
"Repeatedly be shown for the absolute propagandist  that they are, the left MSM is apoplectic that President Trump keeps playing them for the fools that they are...how delightful!",1.0
I have decided this is just a troll piece. And it worked. Grrr!,0.4
"What is right will be wrong, what is wrong will be right.",0.0
"NFL = disrespectful, mostly black men airing their contempt for the USA by kneeling during our National Anthem. Personally, I stand for the flag but kneel for the cross.",0.6
The liberal media is covering up for the liberal attacker who was released on bond by the liberal judge.,0.0
Don't be surprised if Hillary pompously proclaims tomorrow that she has learned how to inhale through her rectum!,0.630952381
"Bernstein.... The one hit wonder... Hasn't been relevant since the 70's, but still milking that dead cow.",0.1666666667
The only malignancy I can detect is the absolutely putrid and utterly unconscionable propaganda directed towards the Presidency in general and Mr. Trump in particular!,0.0
Bernstein is a leftist hack.   Bill Clinton did more criminal stuff before breakfast than Nixon EVER did.  Obama did more in his SLEEP.,0.4
"Oh WOW, mann....That's the biggest one I've ever seen! Play jump-rope with it too!",0.0
The centripetal acceleration at the equator is 0.03 m/s^2. not enough to notice.,0.0
"As usual, Trump has his wires crossed.",0.0
"Maybe the voting machines were not affected, but the systematic false news, innuendo and lies affected the voters' choices.  This is an illegitimate president.",0.0
Blacks want respect but cannot show any respect for the flag.,0.7
"Trump is definitely a chauvinist pig, however, our two pitiful senators are just two little rats running away from a sinking ship - trying to save their mediocre careers.",0.7575757576
Lick balls Ann.,0.6142857143
"Sunny ways damnit, sunny ways!",0.7
"North Korean Presidential Idiot isn't talking about my family. Unlimited water, fuel, 2+ years food supply, medical needs covered, farming implements left to us from the late 1800-early 1900s and heritage seeds. There are thousands of us.. prepped and ready to rumble.",0.7
"Just hurry up and die, Songbird.",0.8166666667
So the next great leap for mankind will be to explore what’s on the back side of the flat earth,0.0
Cuckold Useful idiot Trump,0.8857142857
Classical liberals are being driven out of the party by progressives straight into the arms of Republican's.  By focusing on the Russians a message is being sent to those who have left that their legitimate grievances are being ignored and will not be addressed in the near future.,0.0
Absolutely everything the left touches . . . turns to shit.  Left-wingers are collectively losing their minds.,0.803030303
"This projected, non stop hatred is on democrats. Long the party of violence they are proving themselves to be petty and unfocused and power hungry at all costs. It is shocking how little regard they have for the law and for fair elections. SHOCKING!",0.3
"Donkeys, Too little, too late.  You are a bunch of overpaid, disrespectful, morons. You demonstrated where your heart is quite clearly.  Now you want to back pedal to save your paychecks? too late, bye.",0.914893617
"O'Leary would be a great choice for the PC leadership. He's ignorant, loud, and would likely shutter the party forever. O'Leary shut down by Chris Hedges: https://www.youtube.com/watch?v=MAhHPIuTQ5k",0.8
A sample of 1000 is too little. Fake news...,0.0
So now we know how stupid he thinks we are.,0.7735849057
Good lord who voted for this giant clown . Trudeau can go jump off a bridge.,0.8
"No one actually believes this, and no one is having meetings This whole article is a hoax.  Good one Denver Post",0.0
The elitist pedophiles and human traffickers are stepping right out and showing themselves. Keep trolling them Mr. President!!,0.5217391304
It is crystal clear that the Conservative party is guilty of violating his rights as a Canadian.  Let the imbeciles pay for their own mistakes.  #MakeHarperPay,0.6
That woman has to be brain dead. Canada should barr Trump from ever entering Canada.,0.696969697
That's the great thing about being a liberal. You never have to say you're sorry.,0.0
"I see Chris in Ottawa is here, controlling the message on behalf of my best buddy. Good work dude, go light one up.",0.0
"============ The Globe and Mail has learned that wealthy Chinese businessman Zhang Bin who, with a partner, donated $1-million to the Pierre Elliott Trudeau Foundation and the University of Montreal Faculty of Law weeks after the fundraiser, .  . .  ==================================  Clintonism comes to Canada.",0.0
"Like his late dead daddy, JT must be anti-semitic.  He has remained silent to the Montreal guy who says we should punch Zionist Jews in the face.  If he promises to really do it, I would go to Montreal and he can punch me.  Guess I could punch him back.",0.6857142857
